# No. of        No. of        No. of basis       No. of shells
# alpha MOs     beta MOs      f'ns in each
   6              5               43                  23
# L,  exponent,     coefficient
1  1.44645000e+02 -1.72173741e-03
1  3.39074000e+01  9.56514279e-03
1  3.39074000e+01  3.51644797e-02
1  3.39074000e+01 -1.23453024e-02
1  1.06285000e+01  3.71349968e-02
1  1.06285000e+01  1.36519953e-01
1  1.06285000e+01 -4.79284809e-02
1  3.82389000e+00  8.14433542e-02
1  3.82389000e+00  2.99411440e-01
1  3.82389000e+00 -1.05115298e-01
1  1.44429000e+00  1.03281421e-01
1  1.44429000e+00  3.79695058e-01
1  1.44429000e+00 -1.33300715e-01
1  5.52621000e-01  6.89202090e-02
1  5.52621000e-01  2.53372411e-01
1  5.52621000e-01 -8.89522338e-02
1  1.88720000e-01  1.01055412e-02
1  1.88720000e-01  3.71511546e-02
1  1.88720000e-01 -1.30427704e-02
1  4.65010000e-02 -9.04185076e-04
1  4.65010000e-02 -3.32406932e-03
1  4.65010000e-02  1.16699127e-03
1  1.62850000e-02  6.19652858e-04
1  1.62850000e-02  2.27803921e-03
1  1.62850000e-02 -7.99758252e-04
1  8.00000000e-03 -2.82471569e-04
1  8.00000000e-03 -1.03845452e-03
1  8.00000000e-03  3.64573431e-04
